"Study ID","dateFrom","dateTo","variant","sumcount","freq","per","source","Outbreak_count_total"
"140255_Park 2024","2020-01-01","2022-03-31","Alpha",6,0.0454545454545455,"5%","LAPIS",NA
"140255_Park 2024","2020-01-01","2022-03-31","Delta",21,0.159090909090909,"16%","LAPIS",NA
"140255_Park 2024","2020-01-01","2022-03-31","Epsilon",1,0.00757575757575758,"1%","LAPIS",NA
"140255_Park 2024","2020-01-01","2022-03-31","Omicron_BA",31,0.234848484848485,"23%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Early-clades",182555,0.0747967473012655,"7%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","Early-clades",307,0.000370555446923666,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Beta",1071,0.000438811954532362,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Alpha",284632,0.116619910590528,"12%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","Alpha",12,1.44842519970162e-05,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Gamma",273,0.000111854027625896,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Delta",1176640,0.482094956284742,"48%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","Delta",46374,0.0559743918424693,"6%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Kappa",552,0.000226166385529285,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Epsilon",27,1.1062486248715e-05,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Eta",536,0.000219610838122639,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Theta",9,3.68749541623834e-06,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Iota",32,1.31110948132919e-05,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Lambda",7,2.8680519904076e-06,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Mu",77,3.15485718944835e-05,"0%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","Mu",2,2.41404199950271e-06,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Omicron_BA",793494,0.325111720868069,"33%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","Omicron_BA",781155,0.942870489060769,"94%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Omicron_XBB",1,4.09721712915371e-07,"0%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","Omicron_XBB",1,1.20702099975135e-06,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28","Omicron_JN",2,8.19443425830741e-07,"0%","LAPIS",NA
"71628_Turtle 2023","2020-01-17","2022-02-28",NA,773,0.000316714884083582,"0%","LAPIS",NA
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28",NA,635,0.00076645833484211,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Early-clades",255329,0.114166993076534,"11%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Beta",2283,0.00102081332396135,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Alpha",194582,0.0870047736325215,"9%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Gamma",22051,0.00985981366915096,"1%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Delta",1213406,0.54255848102262,"54%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Kappa",247,0.000110442790634451,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Epsilon",45535,0.0203603743787034,"2%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Eta",1062,0.000474859286047722,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Theta",19,8.49559927957318e-06,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Iota",37317,0.0166858041218859,"2%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Lambda",1135,0.000507500272753451,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Mu",5365,0.00239888895446895,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Omicron_BA",455948,0.203871131595939,"20%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Omicron_XBB",27,1.20726937130777e-05,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02","Omicron_JN",3,1.34141041256419e-06,"0%","LAPIS",NA
"71402_Salvatore 2023","2020-03-10","2022-02-02",NA,2143,0.000958214171375017,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Early-clades",151188,0.0735291542892493,"7%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Beta",2278,0.00110788828128496,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Alpha",194553,0.0946193980635786,"9%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Gamma",22049,0.010723366424079,"1%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Delta",1213133,0.589998171352091,"59%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Kappa",247,0.000120126604687175,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Epsilon",43918,0.0213591911929204,"2%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Eta",1062,0.000516495765901942,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Theta",19,9.2405080528596e-06,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Iota",37297,0.0181391173077634,"2%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Lambda",1135,0.000551998770526086,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Mu",5365,0.00260922766861009,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Omicron_BA",381779,0.185675364416457,"19%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Omicron_XBB",16,7.78148046556598e-06,"0%","LAPIS",NA
"71915_Leuva 2022","2020-12-14","2022-01-25","Omicron_JN",3,1.45902758729362e-06,"0%","LAPIS",NA
